,JobTitle,Company,Location,JobDescription
325,Anti Money Laundering Analytics Senior Consultant,Accenture,Sydney NSW,"Your career in Accenture Financial Services

Accenture’s Finance & Risk Services group is growing fast and to keep up with the pace we need your help in building our team!
About Accenture Finance & Risk Services
Accenture Finance & Risk Services help our clients focus on three key challenges - increasing profitability, reducing complexity and managing regulations. We primarily work with leading Investment, Corporate and Retail Banks, as well as major Insurers. These clients look to our Finance & Risk consultants to recommend the best solutions, based on their unique insights and industry expertise across Financial Risk, Operational Risk, Finance & Risk Analytics, Regulatory and Compliance, Fraud and Financial Crime, and Finance functions.
Job Description
We are looking for individuals with a proven track record in big data projects. A background in AML, KYC, screening, regulatory compliance or fraud is highly advantageous, especially for more senior roles.
Key responsibilities:
Manage, transform and cleanse high volume data;
Write defensive, fault tolerant and efficient code for data processing;
Automate data processing to enable on-going alerts on high risk activity;
Work very closely with data scientists to ensure efficient and effective delivery of solutions;
Use leading and emerging open source big-data tools, such as Spark, Hadoop, Scala and Elasticsearch. You should be comfortable with working with high profile clients, on their sites;
Work with our expert software development team and external vendors to produce reusable applications;
Collaborate on scalability issues involving access to massive amounts of data and information;
Take on ad-hoc tasks as required for the running of a small, yet rapidly expanding business
Working with clients to elicit and document solution requirements;
Assuring high quality implementation of solutions;
Providing technical vision for, managing and developing teams to deliver software to clients.

Professional Skill Requirements
Experience working on big data project implementations;
Excellent technical skills including expert knowledge of at least one big data technology such as Spark, Hadoop, or Elasticsearch;
Experience of building data processing pipelines for use in production “hands off” batch systems, including either (or preferably both) traditional ETL pipelines and/or analytics pipelines;
Strong coding experience in the likes of Scala or Java, python
Enthusiasm to learn and develop emerging technologies and techniques;
Exhibit strong technical communication skills with demonstrable experience of working in rapidly changing client environments;
Demonstrate strong analytical and problem-solving skills and the ability to debug and solve technical challenges with sometimes unfamiliar technologies;
Have worked on a variety of complex data orientated projects for financial services clients;
Have a good understanding of computer science and preferable come from a software engineering background or other scientific degree incorporating IT modules (e.g. Maths/Physics);
Have exposure to Agile, especially SCRUM;
Arrive with experience at working with a variety of modern development tooling (e.g. Git, Gradle, Jenkins, Nexus) as well as technologies supporting automation and DevOps (e.g. Ansible, Chef, Puppet, Docker and a little bit of good old Bash scripting);

Formal Requirements
Education: Bachelor’s Degree (preferably in business or engineering)
Mobility: A willingness to travel when required is crucial
What we offer
Accenture has an end-to-end focus with clients making us a trusted partner to support clients from strategy to execution, giving you the possibility to strengthen both your analytical and executive capabilities
Accenture has a global model with easy outreach to skilled global SME’s to aid our local projects, helping you with valuable insights
Strong global brand, with a very broad client offering
Fast career development through close and personal co-operation with senior high-performing colleagues and market leading clients
A challenging and gratifying mix of project work and business development
Personal training opportunities and a career counselling program
Very strong team culture among supportive colleagues, where team spirit and cooperation is highly valued and rewarded
Fair level of Work / Life Balance and possibility to control your own agenda to a large extent
A position within our Financial Services operating group, and exciting projects for large insurance company clients
Annual salary range between $90,000 - $130,000
Please also note that Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, or gender identity.
About Accenture
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 459,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law."
326,"Treasury Analytics Manager (Liquidity, IRRBB, ALCO, Funding, ALM)",Avenir Consulting (Australia),Sydney NSW,"Organisation
A Global Financial house is looking for an individual to join the build out of the Risk Analytics function supporting Global Treasury
Role
Oversight across the liquidity and IR Risks within Global Treasury function
Support and develop a range of analytics and monitoring across the function – to support ALCO reporting
Build and verification of Funding, Capital and Liquidity models
Support and refine the framework and methodologies in line with the development of the business and impact of regulatory change
Role-out of global treasury analytics across multi regions including Asia, EMEA and South & North America
Support the continuous improvement program
Perform SME duties and periodical BA responsibilities where required, to support the change program
Role may require onsite training at Vendors and roll-out/ implementation within the various geographical locations and require overseas travel.
Individual
Background in Traded Market Risk, IRRBB, Treasury or Data Science environment desirable
Exposure to problem solving with advanced Data Science and Machine Learning techniques – using statistical tools like Python, R, MATLAB, SAS and SPSS or working in conjunction with Data Architects, Scientists and Engineers in producing AI and BOT solutions
Knowledge of Funding, Liquidity, Market Risk, (FTP)Transfer Pricing, VaR, or Model Build / Verification for Capital, Credit or Operational Risk
Tertiary education ideally from a Science, Technology, Engineering or Mathematics background
Professional qualifications such as CFA, FRM, Masters of Applied Finance desirable
Impeccable communications both written and verbal
Ability to work under pressure
To apply, please send your CV by clicking on the appropriate link, or for more information or a confidential discussion, please contact Graeme Bradley
Job Type: Full-time
Salary: $100,000.00 to $220,000.00 /year
Experience:
Treasury: 1 year (Preferred)
Work Eligibility:
The candidate can work temporarily with no restriction on hours (Preferred)"
327,"Customer Marketing Analytics Consultant :: Contract :: up to $1,000pd",Correlate Resources,Melbourne VIC,"Our well known, market leading Australian Financial Services client is looking for a Customer Marketing Analytics Consultant / Data Scientist to join their high profile business transformation project team. The core focus of this role will be to work closely with marketing and product strategy teams to map customer journeys and develop robust and comprehensive data driven customer engagement strategies.

The responsibilities of this role cover but not be limited to:
Develop a robust understanding of retail Customer Journeys (including funnel reporting from online Lead acquisition to offline sale).
Fusing online and offline data sources to achieve compelling insights and workable outcomes
Leveraging strong SQL skills for managing, manipulating and merging complex customer data sets and building insights driven reporting Dashboards (in Tableau or Qlikview)
Developing clear and concise visualisations around Customer Journey Analysis and Customer Journey Maps.
Developing and delivering Business Case's from teh results of your analysis.
Building simple propensity models and segmentations on customer behaviour to be used in your analysis.
Develop reports around Media spend and optimisation
Extracting data from Adobe Analytics and Audience Manager
Refine and optimise campaign activities based on pre or post campaign analysis to maximise campaign profitability or marketing objectives
As the successful candidate you will come form a proven background working within customer marketing strategy analytics and be able to demonstrate:
8 + years’ experience in Marketing Analytics
Strong understanding of Marketing Technology (Adobe Analytics, Adobe Audience Manager, Adobe Marketing Cloud, Salesforce Marketing Cloud, Google Analytics, etc.)
Strong Experience in Customer Journey Mapping, multichannel data driven marketing strategy.
Strong technical skills in SQL for managing and manipulating large volumes of customer data.
Strong Data Visualisation skills (Tableau or Qlikview).
String in the art and science of developing a good 'pack'
Strong communication and stakeholder management skills. Must be able to work with stakeholders to define ‘the brief’, engage to resolve tech or business issues and socialise outcomes
Financial services experience will prove advantageous
Self-directed and proactive with the ability to solve complex business and technical problems
To be considered for this opportunity please click APPLY or send your Resume and Cover Letter to kate@correlateresources.com"
328,Advanced Analytics Manager,PRA,Sydney NSW,"NEW OPPORTUNITY

Join a heavy industry leader on their brand new digital transformation journey. This person will be brought into the team to assist them in unlocking the next wave of growth and productively improvements by using machine learning, data science, data analytics and forward thinking.

KEY RESPONSIBILITIES
Design, build, deploy and manage their advanced analytics vision, strategy and operating models in a global capacity;
Build and lead a team of Data Scientists, Machine Learning Specialists, Data Engineers and UX/UI Designers;
Generate and perform monthly/quarterly/yearly performance appraisals for your team;
Work closely with their GM's, EM's and their IT Department on the overarching vision and strategy;
Manage budget for your team; and
Travel is a must for this role, both interstate and internationally.
EXPERIENCE

Required:
2+ years' experience in a managerial role in data science or advanced analytics, leading a team of 10+ employees;
You MUST come from a Data Science and Machine Learning background and have a strong understanding of the technologies used such as predictive modelling;
Background in Optimisation and Digital Print is essential;
You have experience in building a data science teams from the ground up;
Strongly value and optimisation focused for businesses;
Have high level problem solving skills (you will be tested on this in the interview process); and
You MUST be able to travel both internationally and domestic (this is a non-negotiable for this role).
Beneficial:
You come from a background in either of the following; Supply Chain, Operations, Logistics, Manufacturing or Infrastructure;
You have a degree in Engineering and/or Statistics; and
Consulting and Strategy background would be highly advantageous.
HOW TO APPLY

Click the ""apply now"" button and follow the steps to upload your profile OR alternatively email me directly on kirilee.taylor@pra.com.au with your CV attached.
2998286"
329,Senior Manager Risk Analytics,Deloitte,Perth WA,"World-class learning and leadership programsCareer development program pathway to PartnershipLocal and overseas secondment opportunitiesWhat will your typical day look like? •Develop and maintain relationships with decision makers at key clients •Organisze and lead sales pursuits including the development of client bids and presentations of proposals•Manage, coordinate and mentor teams of data scientists and analytics professionals•Project manage the design and implementation of innovative solutions for Deloitte’s clients, driven by exploratory data analysis from complex datasets, both structured and unstructured, applying advanced statistical, data mining, and machine-learning techniques•Ensure project teams apply the appropriate statistical, machine learning, programming, data modelling, simulation, deep learning and advanced mathematics techniques to recognisze patterns, identify business improvement opportunities, and make value adding insights leading to better business decision making•Function as integrator between business operation needs and advanced analytical solutions. Oversee the generation and testing of data-driven hypotheses, analyse, and interpret the results of analytics solutions•Present and communicate with impact data-driven insights and deliver action plans that steer business strategy and decision-making•Help to grow our internal capabilities by providing expert input into the design and delivery of internal training courses to team members. •Keep up to date with predictive and prescriptive analytics, new machine learning techniques, technologies, architectures and languages where necessary, and share your knowledge with the rest of the team to facilitate their personal growth and the growth of the practice.About the team The Risk Analytics team carries out advanced statistical and machine learning analyses in a number of areas and industry sectors encompassing Resources and Energy, Government and Public Services, Health and Life Sciences.We don’t just work with our clients to manage risk, we help them understand and grab the opportunities it presents too, helping them gain a competitive advantage.

Our expertise and industry knowledge runs deep here. At Deloitte, you’ll find yourself working with some of the most inspiring and experienced colleagues and with clients who trust you to lead the way to smart choices, better control frameworks, and new systems, including bespoke solutions that have a direct impact on their bottom line. Our team’s core values are commitment to collaboration, solving complex problems and creating long term sustainable impact that matters.Enough about us, let’s talk about you.As a Senior Manager in the Risk Analytics practice, you will work very closely with Clients, working on proposals, managing relationships with new and existing clients. You will be a key leader on projects and a trusted expert to clients.You will lead project teams in generating value and critical business insight from their data.

You will use your experience and deep knowledge to make complex problems and prescribed solutions clear and understandable. •7 to 10+ years relevant work experience with analytics, business modelling, optimisation, simulation modelling and business intelligence and visualisation.•5+ years of proven, relevant experience in leadership roles, managing, coordinating and developing teams that are strong in technical and analytical skills. •Proven experience in business development and/or proposal development in support of related specialty areas•Strong consulting and/or technology implementation experience across the end-to-end project lifecycle (requirements gathering, user story elicitation, model design and built, testing and deployment).•Experience applying analytics tools and techniques to a variety of complex business problems and an understanding of which approaches are relevant in different scenarios, delivering value.•Good understanding of data analysis and modelling concepts including regression modelling, segmentation, time series analysis, simulation modelling, machine learning and predictive modelling.•Hands on experience with a number of data manipulation tools and languages (e.g. SQL, Python, R, Spark, etc.).•Experience in business intelligence and visualisation tools such as Tableau, Microsoft Power BI, etc.

Exceptional communication, presentation, business writing and professional skills, including being able to liaise with both technical and business contacts at our clients.•Experience of managing, strengthening and broadening key client relationships with senior business stakeholders.Desirable experience •Degree in Engineering, Computer Science, Data Science, Science or Mathematics, MBA.•Advanced analytical experience in procurement, supply chain, inventory, human resource, workforce analytics in an energy and resources environment•Experience with solution architecture and Cloud architecture and solutions.•Experience with big data technologies.•Exposure to analysis of unstructured data.•Exposure to Natural Language Processing.Why Deloitte?At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. We value difference, and embrace people with diverse backgrounds and thinking styles. Knowing that people work best in different ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.Next Steps Sound like the sort of role for you? Apply now.
If you’ve got any questions or wish to have a confidential conversation about this role, contact Subha Suri from the Talent Acquisition team at subsuri@Deloitte.com.au. We’d love to hear from you. By applying to this job you will be assessed against the Deloitte Global Talent Standards. We've designed these standards to provide our clients and candidates with a consistent & exceptional Deloitte experience globally.Deloitte Touche Tohmatsu is the DTTL member firm in Australia (""Deloitte Australia"").

""Deloitte"" is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, tax and related services to select clients. Requisition code: AUEXP164164"
330,Senior Business Intelligence Consultant,Fortude,Melbourne VIC,"Fortude is looking for a talented, self-driven BI Consultant who has a passion for analytics, to join our team. You will get to provide analytics solutions as a full-time consultant with a highly dedicated, dynamic team. You will be involved in pre-sales, design, development & implementation of complex BI solutions across the ANZ region.
What we expect
Demonstrable client-facing skills and pre-sales experience
Minimum 7 years of experience building business intelligence or data warehousing solutions including developing data warehouses, data integration, semantic modeling, and business data visualization
Knowledge in multiple Azure Data Services such as Data Factory, Databricks, SQL Database, SQL Data Warehouse, and Machine Learning.
Experience in the traditional Microsoft business intelligence stack: SQL Server database engine, T-SQL, Integration Services, Analysis Services OLAP & Tabular, Reporting Services, and Power BI
Exposure to building advanced analytics & artificial intelligence-based solutions is an advantage
Ability to drive an offshore delivery team towards project objectives
Ability to consult with and provide analytics solutions to customers is a must
What you should have
The following certification:
MCSE: Data Management and Analytics
Or, two or more of the following certifications:
MCSA: BI Reporting
MCSA: SQL 2016 BI Development
Microsoft Certified: Azure Data Engineer Associate
Microsoft Certified: Azure AI Engineer Associate
Microsoft Certified: Azure Data Scientist Associate
BSc. in IT or Computer Science would be an advantage
What makes you different
Excellent verbal and written communication skills with the ability to communicate at all levels within an organization
Strong collaboration and organizing skills
Demonstrable passion for technical excellence in business intelligence and/or related technologies is a must
Self-starter mentality
Job Type: Full-time
Experience:
Business Intelligence: 7 years (Required)
Education:
Bachelor Degree (Preferred)
Location:
Melbourne VIC (Required)
Work Eligibility:
The candidate can work permanently with no restriction on hours (Preferred)"
331,Contaminated Land Management Consultant (Senior Scientist or Engineer),Golder Associates,Richmond VIC,"Contaminated Land Management Consultant (Senior Scientist or Engineer)
- (19002085)
At Golder, we thrive on challenges.

Golder is not just a place to work, it is a promise of a living, dynamic environment where people collaborate, innovate, build enduring relationships, excel, and grow professionally in a strong culture of ownership.


Golder has a new opportunity for a Contaminated Land Management Consultant (Senior Scientist or Engineer)to join our team based in Melbourne.
Key duties and responsibilities include:
Ensure Golder's health and safety culture is upheld and demonstrate commitment to Golder's environment and sustainability standards
Plan and/or perform environmental assessments including Preliminary and Detailed Site Investigations, impact assessments, environmental hazard identification and/or risk assessment, investigation of soil and groundwater quality
Conduct data management, interpretation and reporting for phased environmental site assessments, contaminant assessments, and remediation
Conduct project management of small to medium sized contaminated sites projects or task management within larger scale projects
Manage the overall delivery of projects on or ahead of time, including actively working with project staff to manage schedule, costs, revenue, risks and variations
Technical report writing and contribution to proposals and deliverables
Supervise junior professional staff and direct contractors including drillers, surveyors, remediation / demolition contractors etc on site
Provide technical direction and mentoring, training and transfer of knowledge to junior employees
Liaise with specialists from other disciplines within Golder
Carry out tasks as assigned by varying Senior Project Managers and Project Directors.

Skills, Qualifications, and Experience
A bachelor's degree or higher in Environmental Science, Environmental Engineering, or related discipline.
Certified Environmental Practitioner (CEnvP), or working towards.
Understanding of regulations and guidelines applicable to contaminated sites assessment in Victoria.
Proficient project management skills including budgeting and cost control.
Good time management skills and the ability to multi-task and prioritise.
Ability to work with a variety of environmental sampling devices and field equipment
Strong writing skills.
Excellent interpersonal and verbal communication skills.
Strong analytical and problem solving skills.
Ability to work independently and within a team environment.
Your benefits at Golder will include:
Competitive benefits and remuneration packages
Option to purchase shares in Golder
Employee owned structure - own the business, own the result
Deepen your expertise in a dynamic work environment
Innovative and collaborative multidisciplinary projects
On the job training, mentoring and coaching
Global projects and travel opportunities.
Renowned for technical excellence, Golder is a leading, global employee-owned engineering and consulting firm with over a half century of successful service to its clients. With over 165 offices in over 30 countries, Golder's 6,500+ professionals are driven by a passion to deliver results, offering unique specialized skills to address the ever-evolving challenges that earth, environment and energy present to clients across the infrastructure, mining, oil and gas, manufacturing and power sectors.

At Golder, we care about our people - we operate with integrity and embrace diversity. Our ownership structure affords us the opportunity to invest in our careers and take pride in something we truly own.

All qualified applicants are encouraged to apply for this role.
Please note: Golder does not accept unsolicited resumes from recruiters or employment agencies.
Primary Location AU-VIC-Richmond
Schedule Full-time
Employee Status Regular
Job Posting Aug 29, 2019, 12:10:13 AM"
332,Quant Data Scientist - UK Contract - Horse Racing Modelling,RecruitmentRevolution.com,Sydney NSW,"Quant Data Scientist / Quant Mathematician - Statistical / Data Modelling | GBP 550 - 600 Per Day
Calling Australian Based Candidates for a UK Contract - Based High Wycombe, Buckinghamshire (40 mins West of London)
GBP 550 - 600 Per Day + Free Parking (6 Month Contract ongoing)
Experience using C#, WPF or modern web technologies. C++, Python, Matlab & R are also highly regarded.
** Horse Racing Data Modeling Experience Essential **
Company:
We are a leading producer of form and data related applications for the horse racing industry. With our head office based in Sydney, Australia, we are expanding our UK presence with a view to trading the global markets.
Position Summary:
+ Data analysis, algorithm development, applied machine learning and statistics
+ Integration and support of live real-time betting/trading systems
To be considered for this role you will have the following:
+ A strong background in mathematical and statistical modelling
+ Previous experience working as a Quant Analyst, Data Analyst, Data Scientist or Big Data Analyst - desirable
+ Masters or PhD in maths / statistics / machine learning / econometrics essential.
+ Experience using C#, C++ or Python is highly regarded, although Matlab & R experience will also be considered.
+ WPF or modern web technologies
+ Strong algorithmic coding skill and solid knowledge of data structures
+ Experience with statistical forecasting essential.
+ Understanding of machine / statistical learning techniques such as non-linear regression, kernel regression, support vector machines (SVM), neural networks, classification trees and similar techniques very beneficial.
+ Experience working within the horse racing / wagering industry highly desirable
This is a great opportunity for someone passionate about maths and stats to have their ideas put into practice.
You may have worked in the following capacities:
Data Modeller, Statistical Modelling, Big Data Analyst, Banking, Finance, Gambling / Gaming Sector, Statistical Modelling
Application notice... We take your privacy seriously. When you apply, we shall process your details and pass your application to our client for review for this vacancy only. As you might expect we may contact you by email, text or telephone. Your data is processed on the basis of our legitimate interests in fulfilling the recruitment process. Please refer to our Data Privacy Policy & Notice on our website for further details.
If you have any pre-application questions please contact us first quoting the job title & ref. Good luck, Team RR.
Job Type: Contract
Salary: $1,092.19 /day"
333,"Experience Management Scientist, Employee Experience",Qualtrics,Sydney NSW,"--------------
Why Qualtrics?
--------------

At Qualtrics, our mission is to close experience gaps—the costly differences between what customers and employees expect, and what they're receiving.

9,000+ organisations worldwide and more than 80% of the Fortune 100 rely on the Qualtrics Experience Management Platform™ to collect, analyse, and act on feedback—more feedback than they ever thought possible. With Qualtrics XM, organisations can handle the four core experiences of business—customer, employee, product, and brand experience. Organisations can be at every meaningful touchpoint, for every experience, and predict what will resonate most with customers and employees.

Employee Experience (or EX) is a major pillar of our business. Through our suite of listening tools, organisations are able to build ecosystems of employee feedback, from pre-hire to exit. Integrations and automation mean this can be done with minimal ongoing workload. While our platform is purpose-built to deliver the traditional annual engagement, we are helping organisations evolve their feedback programs to feel more fresh, agile and aligned with their business imperatives.

--------------
About the Team
--------------

Qualtrics is in the business of helping organisations manage experiences. Of all experiences an organisation delivers, employee experiences have a lasting impact on talent retention, productivity, and the overall bottom-line of the organisation. However, many of the world's organisations have followed a very outdated approach to understanding their employees.

As the employee landscape shifts, these outdated approaches are not delivering the insights required to truly engage their employee base. As such, these organisations are also looking for a new way to not just monitor, but understand and improve the experiences they deliver to their employees. Qualtrics has provided a new approach built on a foundation of elite technology and solid expertise that is getting results for many of the world's top organisations.

-----------------
A Day in the Life
-----------------

You will be in a senior role that focuses on building scalable solutions that will bring impact to current and prospective customers. You will work to grow revenue as well as collaborating with the Employee Experience (EX) delivery and product teams at Qualtrics.

------------------------
What are we looking for?
------------------------

You will have a keen understanding of client needs in the world of employee feedback programs. You will have experience of designing large-scale employee feedback programs within global organisations and be able to communicate industry trends at senior levels within their customers.

You will influence our customers and help them design and shape their programs for the future, to organisations that are both mature and immature in the employee survey space. You will understand the significant industry shifts taking place in employee surveys, and be able to design visionary, creative yet impactful solutions to clients.

You are a strong presenter who represents Qualtrics at industry events and evangelising the work we do with customers.

Finally, you are passionate about and believe in our culture and values. They'll believe in work being a positive experience for themselves and their co-workers, and be willing to strap in and enjoy the ride!

----------------
Responsibilities
----------------

Develop and validate innovative, scalable pre-packaged employee feedback solutions
Develop thought leadership content on a frequent basis, including academic and practitioner articles, joint publications, podcasts, conference presentations or webinars
Working with the Product team, help to develop new platform features
Provide post-sale consulting support to customers
Conduct, write and present on global research that aligns to the Qualtrics value proposition, at industry conferences and with specific customers
Where needed, contribute to product and business development activities
----------------------------
What are the qualifications?
----------------------------

7+ years experience working with clients on their employee insights/analytics function
A blend of agency-side experience as well as internal-client experience is ideal, although candidates from either side will be considered
Experience working with large and complex enterprises
Strong writing and presentation skills
Consultative and relationship builder who can quickly understand client needs and requirements
Have a deep understanding of good research methodology; item design and data collection
Able to analyse and interpret data, and report back insights to customers
Advanced degree (Ph.D. preferred) in Industrial Organisational Psychology, Behavioural Science or related field
Willingness and ability to travel up to 25% of the time
------------------------------------------
Qualtrics is an equal opportunity employer
------------------------------------------

Qualtrics provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, colour, religion, gender, national origin, sexual orientation, gender identity or expression, age, disability, genetic information, marital status or veteran status."
334,Senior Environmental Scientist,EnviroAg Australia,Toowoomba QLD,"Location: Toowoomba
Position Status: Permanent/ Full Time
Key Roles and Responsibilities:
The key responsibilities of the position will include:
Scope projects, build winning proposals and convert the project sale with the client.
Undertake field investigations and assessments including travel and data collection in remote locations.
Undertake applied research.
Manage projects and complete tasks on time with quality workmanship within the project budget.
Deliver quality project outcomes including, letters, maps, plans, briefs, reports and other technical advices.
Engage the market to generate leads and enquiries for projects with new and existing clients.
Maintain and improve your professional standing.
Compliance with the company's Quality Assurance systems.
Work to required company HSE standards.
Administrative duties, as required..
Other duties as directed by management.
Required Qualifications and Experience:
Tertiary qualifications in one or more of the following areas: Environmental or Agricultural Science/ Engineering.
Minimum of five (5) years commercial experience in a professional position within a consultancy.
Demonstrated high level project management experience.
Post graduate qualifications would be highly regarded.
Current Class C driver's license (manual vehicle).
""White Card"" and Senior First Aid certificates.
Selection Criteria:
A real ""go getter"" who is confident in engaging the market and with clients.
A thorough understanding of rural and environmental sciences; as applied to primary industry production practices and principles, and practical experience in the operations of one or more industries.
A proactive self-starter, motivated, with the ability to self-manage but also to take direction from management.
Proven ability to communicate clearly and effectively, both orally and in writing.
Proven ability to manage time and prioritise projects with competing interests.
Experience in research, including the presentation of research findings both written and verbally.
Experience in provision of technical and professional services in private industry.
Demonstrated advanced computing skills.
Rural background or experience working in rural areas.
Ability to travel and work away from home."
335,Senior Data Scientist - Up to $180k - Sydney CBD - Award Winning Employer,Total Resource Solutions,Sydney NSW,"Outstanding opportunity to join an established, award winning company based in Sydney's CBD who are at the forefront of data related technology. Work with some of the brightest talent in Australia solving some truly futuristic business problems. This is a chance for you to build your skills with a company who invests heavily in both technology and people.

This role will suit an experienced Data Scientist who is comfortable working closely with stakeholders to understand complex business problems and tailor suitable solutions accordingly. You will be an excellent communicator, have an engaging personality and ultimately have a passion in all things data.

Some of your responsibilities will include:
Provide data science and advanced analytical expertise and consulting services;
Selecting features, building and optimising classifiers using machine learning techniques;
Data mining using state-of-the-art methods;
Engaging with clients in an Agile approach to ensure the solution fits their requirements;
Processing, cleansing, and verifying the integrity of data used for analysis;
Carrying out post-hoc statistical analysis on business data and presenting results in a clear & concise manner;
Creating automated machine learning systems within cloud-based platforms.

Skills and Experience
Minimum 3 years experience working as a professional Data Scientist developing predictive models in commercial environments
Tertiary qualified in a relevant discipline (Statistics, Data Science, Mathematics, Computer Science). PHD adavantageous.
Strong experience with Machine Learning techniques and algorithms.
Expert knowledge of and experience with R and Python (and the tools within them) Python is preferred.
Experience in some or all of these technologies: Alteryx, H20, DataRobot, SQL, SAS, Excel, PowerBI, Tableau, Machine learning libraries and methodologies, etc
Apply visual analysis techniques and tool sets to extract patterns and meaning from data in a visual format
Proficiency with AWS, Hadoop, Spark, Redshift or other big data platforms
Strong ability to translate analytical solution outcomes in the context of business impacts and benefits
On offer is a fantastic salary package, a great team to work with, plenty of company benefits, being associated with an established local brand and the opportunity to build your skills with the latest technology.

For more information please apply direct or email emile@trs.sydney."
336,Data Scientist | Contract,Talenza,Sydney NSW,"A company that is a market leader in their field are looking for a Data Scientist to join its large dynamic team on an exciting new project. They have a passion for client satisfaction, innovation and industry expertise across Australia and overseas. This role would initially be a 6 month contract working in a diverse team, and reports into the lead program manager.
The Role
Our client is seeking an experienced Data Scientist with strong machine learning and deep exposure with NLP to help on a contract basis. Key responsibilities include:
Undertake strategic research into our existing models and technologies with NLP experience
Strong knowledge of machine learning algorithms and efficient data structures and model performance tuning
Working with other team members on mathematical and computer science algorithms for resourcing data and predictive modelling
Commercially focused with all levels of the business with partners and product owners
Design large-scale optimization algorithms based on real-world data
Contribute in the development of software implementations of the models and algorithms to assist and improve decision making within the company’s operations.
Candidate Profile
To be successful in this role the client is looking for:
A strong background of Data Science having had experience with Machine Learning and NLP
Strong experience physically constructing and compiling data models
Strong experience in scientific computing and resolving complex algorithms
Experience with Python or R highly regarded
Previous experience having been involved in a large-scale technology project and being able to highlight industry knowledge across to clients
Masters degree or PhD in Computer Science or Maths"
337,Data Scientist - Leading IoT Agritech,Hyre Pty Ltd,Sydney NSW,"Data Scientist
Perm
$110-135K + Super

The Company.

We are currently working closely with an amazing global business in the IoT & Saas Tech space with a mission to change the way the planet will look after it's ever-growing population.

With the rapid advancements of modern technology, this company is blending IoT, machine learning neural nets, big data analytics and years of hands-on experience to deliver data-led, highly-accurate insights into how to get the best from farming harvests – and most importantly, without damaging the planet...

They have an outstanding leadership team with some advisory members including world-leading scientists and some of the smartest technologists, along with partnerships with some household names in the tech & hardware industry looking to make the world a better place.


The Role.

You will work with multidisciplinary team with a range of data sets driving insights to impact global farming issues. You will apply cutting edge data science methods while playing the integral role as the project lead

To succeed in this role, you will need to:

Develop ML models: LTSM networks, random forests, neural networks
Experience scaling solutions to cloud architecture
Python expertise (TensorFlow, Keras, NumPy, SciPy, scikit-learn etc.)
Commercial experience querying and manipulating data
Time to time travel maybe necessary
Exposure to environmental, climatic, geospatial, marine or agricultural domains highly regarded"
